DesignID,k,family,nc,rf,ra,alpha,N,D_reg,A_reg,G_reg,D_scaled,A_scaled,G_scaled,Deff_reg,Aeff_reg,Geff_reg,Deff_scaled,Aeff_scaled,Geff_scaled
FCCD_k6_nc10_rf2_ra2,6,FCCD,10,2,2,1,162,69.98648042392684,1.4550090756879743,0.35478203129971414,74.29054810350249,1.1458289768316754,0.29047328659586474,0.3138115445788441,0.14082707507043266,0.20677688115359644,0.3265721701206973,0.1620171503816604,0.261100500352681
FCCD_k7_nc10_rf2_ra2,7,FCCD,10,2,2,1,102,21.54484321701881,301.8972766148496,387.25861109995054,31.58133790600479,6.186209976378247,7.617631997341374,0.2818611418712887,0.9946613843965582,0.8921049476215097,0.2547874027594257,0.2304785749794166,0.22149479228429259
FCCD_k8_nc10_rf2_ra2,8,FCCD,10,2,2,1,106,10.279545320751613,802.1535604301769,640.5374091001013,22.31635472983496,13.96104292678035,10.296760345576422,0.26792201344233835,0.9976361136989121,0.8241500949346898,0.19732081199721438,0.16546391463905885,0.16698086940286774
FCCD_k9_nc10_rf2_ra2,9,FCCD,10,2,2,1,110,4.869094500033927,1502.3810699217943,1081.10549268172,15.68318667582043,24.77599549137021,14.751862945494768,0.25775589081164707,0.9985601356079538,0.7615602745075577,0.14023672418742833,0.10562600520041752,0.10415262248786539
FCCD_k10_nc10_rf2_ra2,10,FCCD,10,2,2,1,114,2.378696420501337,2402.578674138642,1389.5534551924723,11.174678103542378,38.643444787498794,21.299260601719652,0.24993480961341108,0.9989946359894594,0.7894264875302747,0.09100855217225014,0.06270806190524479,0.060227237675733104
RCCD_k3_nc10_rf2_ra2,3,RCCD,10,2,2,1.681792830507429,38,24.199781667304833,0.5066202395603684,0.30728405508937856,24.56876890837511,0.4958282655009011,0.2957505395071358,0.6700308395316467,0.739165252305842,0.6230779506773334,0.6684675046043591,0.7316576643389407,0.6275712729472411
RCCD_k4_nc10_rf2_ra2,4,RCCD,10,2,2,2,58,42.721193930010415,0.44767448537852284,0.2362765983294852,43.40623214580897,0.43520539456916113,0.22012176076714093,0.6849822473046401,0.7596655036954961,0.6150297638264296,0.683537672811821,0.7478996894330535,0.7067620209423064
RCCD_k5_nc10_rf2_ra2,5,RCCD,10,2,2,2.378414230005442,94,78.93229538139565,0.36312117216064793,0.164729160774713,80.28263450359867,0.347703231479778,0.16283366212149708,0.6793038255422591,0.7691170069130044,0.6608524658130803,0.6777013362685279,0.7483372242647911,0.6606146503313853
RCCD_k6_nc10_rf2_ra2,6,RCCD,10,2,2,2.8284271247461903,162,150.4220988407455,0.270631975914409,0.11294912430382333,153.1164537940527,0.2536500745012935,0.10648518666003758,0.6744758543375446,0.7571340069396495,0.649502352264003,0.6730812179100318,0.7318899709215536,0.7122372871580899
RCCD_k7_nc10_rf2_ra2,7,RCCD,10,2,2,3.363585661014858,102,53.08188797202521,300.40744040984083,462.113579124028,83.14646848623167,2.121798207586747,2.4861579554549382,0.6944455991520148,0.9995942933157794,0.7475982930996643,0.6707971909637624,0.671971940960751,0.6786639655164461
RCCD_k8_nc10_rf2_ra2,8,RCCD,10,2,2,4,106,27.59868253720119,800.3762038525454,675.8594285373326,75.66019231219012,3.45668389610923,2.362685913200323,0.7193211725810257,0.999851515781371,0.7810780529636556,0.6689860760703709,0.6682846579373838,0.7277150064387529
RCCD_k9_nc10_rf2_ra2,9,RCCD,10,2,2,4.756828460010884,110,14.098660221253228,1500.3218227125533,848.980516476317,74.70634626632742,3.9213023475918236,2.408190164094021,0.74634261556323,0.9999306963379125,0.96978314554912,0.6680130443485534,0.6673776201481005,0.6380082583440285
RCCD_k10_nc10_rf2_ra2,10,RCCD,10,2,2,5.656854249492381,114,7.36369392987607,2400.2419515281517,1193.041482100677,81.95971431808098,3.6326828830252342,2.1111419087062457,0.773719346677754,0.9999671935069165,0.919456967612449,0.6674943893171538,0.6670704837159744,0.6076311712097425
