DesignID,lambda,lambda_eff,Dcrit,Acrit,Gcrit
FCCD_k7_nc1_rf2_ra2,1e-7,6.636111111111111e-6,11.588763031724458,452073.9141633541,2243028.8099023877
FCCD_k8_nc1_rf2_ra2,1e-7,6.615555555555555e-6,2.777136035974564,1209273.2491646977,3042064.7114987574
FCCD_k9_nc1_rf2_ra2,1e-7,6.598181818181818e-6,0.6572218278107594,2273355.938325253,3977197.670422607
FCCD_k10_nc1_rf2_ra2,1e-7,6.583333333333333e-6,0.16506767246246076,3645572.210819891,5268707.560831615
RCCD_k3_nc1_rf2_ra2,1e-7,3.0294112549695433e-6,19.253084216350363,1.690981252865899,0.972860985766438
RCCD_k4_nc1_rf2_ra2,1e-7,5.4466666666666665e-6,36.630876683131426,1.5729080966169817,0.9616433697502286
RCCD_k5_nc1_rf2_ra2,1e-7,1.0086367071380226e-5,71.38626942094962,1.1996313603813833,0.7521657228765316
RCCD_k6_nc1_rf2_ra2,1e-7,1.2660714285714288e-5,86.58706342012673,0.754504741193571,0.3599871244808668
RCCD_k7_nc1_rf2_ra2,1e-7,1.73160662165877e-5,30.455682314317436,173250.02826847427,871896.3554829872
RCCD_k8_nc1_rf2_ra2,1e-7,2.5815555555555555e-5,9.445476693486738,309891.0930147636,787143.3155261449
RCCD_k9_nc1_rf2_ra2,1e-7,4.1461067294412543e-5,3.1359697867422702,361785.52644936595,634481.9339265954
RCCD_k10_nc1_rf2_ra2,1e-7,7.046212121212124e-5,1.2095816291965091,340608.78794400976,464873.7730866934
SCCD_k3_nc1_rf2_ra2,1e-7,3.1699999999999997e-6,19.910036966461657,1.695430792626439,0.9988716872859144
SCCD_k4_nc1_rf2_ra2,1e-7,5.4466666666666665e-6,36.630876683131426,1.5729080966169817,0.9868989280662362
SCCD_k5_nc1_rf2_ra2,1e-7,9.357142857142859e-6,66.69860222336689,1.4581412455878076,0.9403009945331123
SCCD_k6_nc1_rf2_ra2,1e-7,1.0089285714285714e-5,73.60889665128629,1.50582586038382,0.8542772524716578
SCCD_k7_nc1_rf2_ra2,1e-7,1.0836111111111112e-5,22.715923131761574,276853.59824439225,1381064.40189442
SCCD_k8_nc1_rf2_ra2,1e-7,1.1593333333333335e-5,5.849931653068627,690053.2465621922,1617273.9703336307
SCCD_k9_nc1_rf2_ra2,1e-7,1.2358181818181817e-5,1.4923025508907537,1213772.2300132802,2271214.311100877
SCCD_k10_nc1_rf2_ra2,1e-7,1.312878787878788e-5,0.4050088100052445,1828045.2336289384,2551640.42318644
FCCD_k3_nc3_rf2_ra2,1e-7,1.9899999999999996e-6,13.597116016568187,1.038955952581204,1.6840074752980045
FCCD_k4_nc3_rf2_ra2,1e-7,3.5399999999999996e-6,22.394300755130278,1.1668274250583528,3.018546697002113
FCCD_k5_nc3_rf2_ra2,1e-7,6.699999999999999e-6,38.68088605102505,1.310874751461076,4.61302685423458
FCCD_k6_nc3_rf2_ra2,1e-7,6.667857142857143e-6,40.39379135196838,1.6359344347590525,6.468934552644822
FCCD_k7_nc3_rf2_ra2,1e-7,6.641666666666667e-6,11.61838370810523,451695.7642714013,2302833.782986034
FCCD_k8_nc3_rf2_ra2,1e-7,6.62e-6,2.782165711493465,1208461.3819585482,3041999.6660073833
FCCD_k9_nc3_rf2_ra2,1e-7,6.601818181818181e-6,0.6581115678179874,2272103.738900959,4114601.6871411996
FCCD_k10_nc3_rf2_ra2,1e-7,6.5863636363636354e-6,0.16524169284502255,3643894.928512873,4984359.246491747
RCCD_k3_nc3_rf2_ra2,1e-7,3.049411254969543e-6,21.455617157924326,0.8187319697401633,0.334977320860344
RCCD_k4_nc3_rf2_ra2,1e-7,5.46e-6,39.41443135509176,0.739582335060774,0.32581744508782534
RCCD_k5_nc3_rf2_ra2,1e-7,1.0095890880904037e-5,74.71545093024282,0.6130529112011285,0.29148646338332534
RCCD_k6_nc3_rf2_ra2,1e-7,1.2667857142857145e-5,88.3695044358259,0.5647070524179663,0.3028594319671499
RCCD_k7_nc3_rf2_ra2,1e-7,1.7321621772143255e-5,30.70220609080306,173194.41620742687,850558.0772426343
