DesignID,k,family,nc,rf,ra,alpha,N,Dcritical,Acritical,Gcritical,Defficiency,Aefficiency,Gefficiency
RCCD_k4_nc1_rf2_ra1,4,RCCD,1,2,1,2,41,30.008709327871486,1.637499999999999,0.993636285647994,0.4812621908118634,0.20780322307039872,0.15379296888960517
RCCD_k5_nc1_rf2_ra1,5,RCCD,1,2,1,2.378414230005442,75,59.81871320961463,1.3301577458179854,0.8397555307273218,0.5148778004113638,0.2100720676728405,0.136199029892666
RCCD_k6_nc1_rf2_ra1,6,RCCD,1,2,1,2.8284271247461903,141,121.59535494254419,0.7380208333333325,0.44628376035887607,0.5452598701951938,0.27775365072471664,0.16982305156030075
SCCD_k3_nc1_rf2_ra1,3,SCCD,1,2,1,1.7320508075688772,23,15.73880278986322,1.7834595959595971,0.9992458858166128,0.43593097367076294,0.21011715128529276,0.1936534011124642
SCCD_k4_nc1_rf2_ra1,4,SCCD,1,2,1,2,41,30.008709327871486,1.637499999999999,0.9868458193758155,0.4812621908118634,0.20780322307039872,0.1548512152211381
SCCD_k5_nc1_rf2_ra1,5,SCCD,1,2,1,2.23606797749979,75,56.37019376014278,1.5065202702702651,0.9637456078298221,0.48519534798885855,0.1854797399738273,0.11867643048419288
SCCD_k6_nc1_rf2_ra1,6,SCCD,1,2,1,2.449489742783178,141,105.88931185709234,1.3973462301587132,0.9955673358851804,0.4748305760983908,0.14669805975427277,0.07612671420016451
FCCD_k3_nc3_rf2_ra1,3,FCCD,3,2,1,1,25,11.026259900816104,1.6239508393285371,0.5408355802827384,0.30540367515154737,0.23075541491785148,0.3577933320046403
FCCD_k4_nc3_rf2_ra1,4,FCCD,3,2,1,1,43,18.606249633365238,1.9842360857386436,0.5737386611749923,0.2983961877037157,0.17149057021161235,0.2663482256072611
FCCD_k5_nc3_rf2_ra1,5,FCCD,3,2,1,1,77,32.833938715921825,2.3643897920813974,0.6400362390057145,0.2826116651098095,0.11818228488841702,0.17869908242967616
FCCD_k6_nc3_rf2_ra1,6,FCCD,3,2,1,1,143,59.74762347276589,2.76816338978186,0.6876599616342344,0.2679212658627073,0.07405198028624474,0.11021329475957269
RCCD_k3_nc3_rf2_ra1,3,RCCD,3,2,1,1.681792830507429,25,17.032613015265614,0.9123028113870467,0.35576761687180625,0.4717667331522982,0.41075774957408007,0.5439150590418987
RCCD_k4_nc3_rf2_ra1,4,RCCD,3,2,1,2,43,32.289059888188426,0.8041666666666669,0.3257133006255538,0.5178331240861547,0.4231433506044903,0.46916805077580476
RCCD_k5_nc3_rf2_ra1,5,RCCD,3,2,1,2.378414230005442,77,62.76920081526935,0.6670059885814096,0.31234892667842246,0.5402735417610176,0.41893025366881526,0.3661734645556034
RCCD_k6_nc3_rf2_ra1,6,RCCD,3,2,1,2.8284271247461903,143,124.49222399250463,0.4778196839080462,0.23082443566808902,0.5582500575498034,0.429006982493169,0.32834162391251553
SCCD_k3_nc3_rf2_ra1,3,SCCD,3,2,1,1.7320508075688772,25,17.56644252531581,0.894570707070707,0.3429134258061211,0.48655266199310243,0.41889975467957125,0.5643038439837311
SCCD_k4_nc3_rf2_ra1,4,SCCD,3,2,1,2,43,32.289059888188426,0.8041666666666669,0.3310967216073959,0.5178331240861547,0.4231433506044903,0.4615396782679327
SCCD_k5_nc3_rf2_ra1,5,SCCD,3,2,1,2.23606797749979,77,59.397694368396515,0.7065202702702713,0.32631798983516197,0.5112539636006569,0.3955003129466284,0.35049826302815096
SCCD_k6_nc3_rf2_ra1,6,SCCD,3,2,1,2.449489742783178,143,110.12658467419634,0.6195684523809527,0.32090512614031924,0.4938314238472827,0.3308560659947712,0.23617344776477842
FCCD_k3_nc5_rf2_ra1,3,FCCD,5,2,1,1,27,11.370326232177597,1.5578703703703705,0.5214379155386738,0.31493357223713414,0.2405434090426661,0.3711033635444796
FCCD_k4_nc5_rf2_ra1,4,FCCD,5,2,1,1,45,18.90426223201959,1.9478876787256503,0.5941008899777097,0.3031755400760859,0.1746906567017225,0.25721939984297665
FCCD_k5_nc5_rf2_ra1,5,FCCD,5,2,1,1,79,33.138112404018685,2.341630320426794,0.6209157365682915,0.2852297802625298,0.11933095739215534,0.18420194866406428
FCCD_k6_nc5_rf2_ra1,6,FCCD,5,2,1,1,145,60.096037792866035,2.752609638836773,0.6919173931064597,0.2694836310290553,0.07447041450303746,0.10953514220199584
RCCD_k3_nc5_rf2_ra1,3,RCCD,5,2,1,1.681792830507429,27,17.921784788199428,0.7345646086279312,0.35273079274624086,0.49639487812055755,0.5101463442887695,0.5485978778020547
RCCD_k4_nc5_rf2_ra1,4,RCCD,5,2,1,2,45,33.407603082842236,0.6375000000000002,0.2905154902243016,0.5357716679433815,0.5337690631808276,0.5260107619330718
RCCD_k5_nc5_rf2_ra1,5,RCCD,5,2,1,2.378414230005442,79,64.25824962636464,0.5195424665112887,0.1891243864537901,0.5530902363274042,0.5378366659252817,0.6047548429721291
RCCD_k6_nc5_rf2_ra1,6,RCCD,5,2,1,2.8284271247461903,145,126.25595890213881,0.38705184108527113,0.15897394095835682,0.5661590263450365,0.5296137597342417,0.4767402103078221
SCCD_k3_nc5_rf2_ra1,3,SCCD,5,2,1,1.7320508075688772,27,18.487095898499906,0.7167929292929291,0.3463976565184114,0.5120527795524827,0.522794567888808,0.5586278102483034
SCCD_k4_nc5_rf2_ra1,4,SCCD,5,2,1,2,45,33.407603082842236,0.6375000000000002,0.28083501025370616,0.5357716679433815,0.5337690631808276,0.5441425348933256
SCCD_k5_nc5_rf2_ra1,5,SCCD,5,2,1,2.23606797749979,79,60.86026142485717,0.5465202702702696,0.19433427311770296,0.5238427216761741,0.5112875097145863,0.5885420353145271
SCCD_k6_nc5_rf2_ra1,6,SCCD,5,2,1,2.449489742783178,145,112.15414797148344,0.464012896825396,0.19266157532854156,0.5029234561935322,0.44177216230773414,0.3933803090559627
FCCD_k3_nc7_rf2_ra1,3,FCCD,7,2,1,1,29,11.640363302857528,1.5194386331938634,0.5112430514602474,0.3224130180832007,0.24662756464718485,0.37850365649628903
FCCD_k4_nc7_rf2_ra1,4,FCCD,7,2,1,1,47,19.148214725939766,1.924258768110205,0.5982675747709082,0.3070879079955218,0.17683576835768355,0.25542797372022247
FCCD_k5_nc7_rf2_ra1,5,FCCD,7,2,1,1,81,33.39499781193849,2.3256849351253117,0.6163813776156069,0.28744087085092224,0.12014911554645845,0.18555701516243558
FCCD_k6_nc7_rf2_ra1,6,FCCD,7,2,1,1,147,60.39721437205406,2.7411191239316235,0.6808474242053826,0.27083417194857884,0.07478258751309347,0.11131608544220317
RCCD_k3_nc7_rf2_ra1,3,RCCD,7,2,1,1.681792830507429,29,18.533507852575656,0.6581779851645985,0.3459699023664078,0.5133382908204196,0.569352755914094,0.5593184927719101
RCCD_k4_nc7_rf2_ra1,4,RCCD,7,2,1,2,47,34.16545321870268,0.5660714285714286,0.26969022056698005,0.547925626739354,0.6011216263582193,0.5666289049895006
RCCD_k5_nc7_rf2_ra1,5,RCCD,7,2,1,2.378414230005442,81,65.27118523621651,0.454647396186567,0.17253540876337628,0.5618088802228574,0.6146059349262469,0.6629009630650378
RCCD_k6_nc7_rf2_ra1,6,RCCD,7,2,1,2.8284271247461903,147,127.53328365973513,0.34087171052631543,0.11930839775754287,0.5718868268177862,0.6013640159599152,0.6352383526260104
SCCD_k3_nc7_rf2_ra1,3,SCCD,7,2,1,1.7320508075688772,29,19.119718665487092,0.6406024531024531,0.3160236926842289,0.5295750690468677,0.5849734853817636,0.6123191672510985
SCCD_k4_nc7_rf2_ra1,4,SCCD,7,2,1,2,47,34.16545321870268,0.5660714285714286,0.25110415961869864,0.547925626739354,0.6011216263582193,0.6085692670256561
SCCD_k5_nc7_rf2_ra1,5,SCCD,7,2,1,2.23606797749979,81,61.84324811692892,0.4779488416988415,0.20319177297090277,0.5323035861563915,0.584642044537266,0.5628864149359065
SCCD_k6_nc7_rf2_ra1,6,SCCD,7,2,1,2.449489742783178,147,113.51001964104267,0.39734623015872966,0.13925605052022827,0.5090034780076429,0.5158926024976839,0.544244000622014
FCCD_k3_nc10_rf2_ra1,3,FCCD,10,2,1,1,32,11.962438273904729,1.4847399150743101,0.5037619174845456,0.33133380180469296,0.2523913083569889,0.38412463828602234
FCCD_k4_nc10_rf2_ra1,4,FCCD,10,2,1,1,50,19.448042307616355,1.9010958861156404,0.591707203105994,0.3118963680078116,0.17899032882188837,0.2582599528349341
FCCD_k5_nc10_rf2_ra1,5,FCCD,10,2,1,1,84,33.71869222410368,2.309076672188859,0.6038883986886612,0.2902270067939849,0.12101329997420474,0.1893957374912717
FCCD_k6_nc10_rf2_ra1,6,FCCD,10,2,1,1,150,60.784394967522765,2.728589573104201,0.679514069339295,0.27257037347804614,0.07512598552373143,0.1115345118897122
RCCD_k3_nc10_rf2_ra1,3,RCCD,10,2,1,1.681792830507429,32,19.205272604584398,0.6008038185372045,0.3509229512839102,0.5319447290820056,0.6237234820641281,0.5514240765046717
RCCD_k4_nc10_rf2_ra1,4,RCCD,10,2,1,2,50,34.987586366184914,0.5125,0.24795451917965947,0.5611105190109076,0.6639566395663956,0.6162996136219672
RCCD_k5_nc10_rf2_ra1,5,RCCD,10,2,1,2.378414230005442,84,66.37010445527541,0.405286031232005,0.17658277230331626,0.5712676111112356,0.6894611865738604,0.6477069486461683
RCCD_k6_nc10_rf2_ra1,6,RCCD,10,2,1,2.8284271247461903,150,128.96995039041465,0.3026842948717948,0.11318758474253639,0.5783291511603091,0.6772336201191264,0.6695899573998806
SCCD_k3_nc10_rf2_ra1,3,SCCD,10,2,1,1.7320508075688772,32,19.813978783375745,0.583459595959596,0.3181393520654144,0.5488045805422975,0.6422646098041035,0.6082471818709054
SCCD_k4_nc10_rf2_ra1,4,SCCD,10,2,1,2,50,34.987586366184914,0.5125,0.2540724945096057,0.5611105190109076,0.6639566395663956,0.6014593380570259
SCCD_k5_nc10_rf2_ra1,5,SCCD,10,2,1,2.23606797749979,84,62.90259687150347,0.4265202702702702,0.17300864577265113,0.5414217220599936,0.6551364787843845,0.6610877053067026
SCCD_k6_nc10_rf2_ra1,6,SCCD,10,2,1,2.449489742783178,150,114.96520330909266,0.34734623015873006,0.1187112681248197,0.5155288363021766,0.5901546151099882,0.638433665507315
FCCD_k3_nc1_rf3_ra1,3,FCCD,1,3,1,1,31,13.84361585825056,1.6351214574898782,0.4844290150970206,0.38343837334933834,0.22917896894993775,0.3994545295707954
FCCD_k4_nc1_rf3_ra1,4,FCCD,1,3,1,1,57,24.40020863190556,1.9422400756143665,0.5613089776860098,0.39131632534261784,0.1751986183634593,0.27224626799346763
FCCD_k5_nc1_rf3_ra1,5,FCCD,1,3,1,1,107,44.10227143419602,2.3209158311608267,0.6204397854735766,0.37960162114510415,0.12039600240706269,0.18434325346296326
FCCD_k6_nc1_rf3_ra1,6,FCCD,1,3,1,1,205,81.50426118769644,2.735424417718461,0.6899091390830899,0.3654827349001748,0.07493827262834969,0.10985398765216611
RCCD_k3_nc1_rf3_ra1,3,RCCD,1,3,1,1.681792830507429,31,19.57334066037828,1.682059896462394,0.9791465359500531,0.5421394222922588,0.2227836538541645,0.19762860535299392
RCCD_k4_nc1_rf3_ra1,4,RCCD,1,3,1,2,57,39.48145649713475,1.5446428571428572,0.986810905326328,0.6331805890967348,0.2202954399486191,0.15485669396378499
RCCD_k5_nc1_rf3_ra1,5,RCCD,1,3,1,2.378414230005442,107,80.2897730296175,1.2518018308117251,0.8461772277237946,0.6910784186907691,0.22322142460347286,0.13516540611678515
RCCD_k6_nc1_rf3_ra1,6,RCCD,1,3,1,2.8284271247461903,205,165.7347604714847,0.6733774038461534,0.43970410816342587,0.7431905110537643,0.30441767068273107,0.17236425277559958
SCCD_k3_nc1_rf3_ra1,3,SCCD,1,3,1,1.7320508075688772,31,20.122340836273356,1.680555555555554,0.9957956018956676,0.5573455459357612,0.22298307752853228,0.19432438139679437
SCCD_k4_nc1_rf3_ra1,4,SCCD,1,3,1,2,57,39.48145649713475,1.5446428571428572,0.9972045513678166,0.6331805890967348,0.2202954399486191,0.15324265634030343
SCCD_k5_nc1_rf3_ra1,5,SCCD,1,3,1,2.23606797749979,107,75.76962208431544,1.4332232704402352,0.9794781136730619,0.6521721090867972,0.19496542775864792,0.11677023410268739
SCCD_k6_nc1_rf3_ra1,6,SCCD,1,3,1,2.449489742783178,205,144.564700887202,1.3444648692810404,0.9681026007307906,0.6482593852191891,0.15246808262000117,0.07828640268990017
FCCD_k3_nc3_rf3_ra1,3,FCCD,3,3,1,1,33,14.469762742592629,1.4988387216648087,0.48228942670721586,0.4007812948279627,0.2500171928566263,0.40122663616570825
FCCD_k4_nc3_rf3_ra1,4,FCCD,3,3,1,1,59,24.913746899295187,1.8799654218533888,0.5741100625106275,0.3995521527795585,0.18100214707263626,0.26617592051596556
FCCD_k5_nc3_rf3_ra1,5,FCCD,3,3,1,1,109,44.60917938610972,2.2859971677914195,0.6153913490143176,0.3839647315713981,0.12223505432642104,0.18585553536827681
FCCD_k6_nc3_rf3_ra1,6,FCCD,3,3,1,1,207,82.07218895947064,2.713248210951102,0.6560778901563245,0.3680294458601795,0.07555076603086536,0.11551870773741807
RCCD_k3_nc3_rf3_ra1,3,RCCD,3,3,1,1.681792830507429,33,21.823133581469804,0.8070503424849792,0.33092472751470065,0.6044538455519928,0.4643272296764118,0.5847473707670514
RCCD_k4_nc3_rf3_ra1,4,RCCD,3,3,1,2,59,42.4816375599621,0.711309523809524,0.32826547705171805,0.6812957444455693,0.47838214783821464,0.4655203944646576
RCCD_k5_nc3_rf3_ra1,5,RCCD,3,3,1,2.378414230005442,109,84.23119133241211,0.5940526152843714,0.30738651039222886,0.7250034009807226,0.4703775066477351,0.37208493139832205
RCCD_k6_nc3_rf3_ra1,6,RCCD,3,3,1,2.8284271247461903,207,169.60674783018558,0.42263335622710535,0.2296254243957856,0.7605533398032693,0.48502556116057916,0.33005609132949876
SCCD_k3_nc3_rf3_ra1,3,SCCD,3,3,1,1.7320508075688772,33,22.45901092317347,0.7916666666666666,0.33305631708053063,0.6220662797634811,0.47335004177109447,0.5810049364391291
SCCD_k4_nc3_rf3_ra1,4,SCCD,3,3,1,2,59,42.4816375599621,0.711309523809524,0.3302558285406469,0.6812957444455693,0.47838214783821464,0.46271484455402084
SCCD_k5_nc3_rf3_ra1,5,SCCD,3,3,1,2.23606797749979,109,79.83901694791122,0.6332232704402515,0.3220499255310903,0.6871986244354545,0.44128035250624076,0.35514334755224336
SCCD_k6_nc3_rf3_ra1,6,SCCD,3,3,1,2.449489742783178,207,150.34961030477228,0.5666870915032677,0.32208453840983786,0.6742001702072816,0.3617304573242581,0.2353086255556668
FCCD_k3_nc5_rf3_ra1,3,FCCD,5,3,1,1,35,14.918838326828013,1.4343347933205586,0.44075631064720533,0.4132197222802454,0.26126079593169316,0.43903481280138323
FCCD_k4_nc5_rf3_ra1,4,FCCD,5,3,1,1,61,25.311688508863007,1.844040348964013,0.5461449482169657,0.4059341083892899,0.1845283797444816,0.279805342638703
FCCD_k5_nc5_rf3_ra1,5,FCCD,5,3,1,1,111,45.02190752083855,2.2633592747569655,0.6259736413759646,0.3875172077577783,0.12345763711111805,0.18271358579996225
FCCD_k6_nc5_rf3_ra1,6,FCCD,5,3,1,1,209,82.55050563172927,2.697732080334565,0.6603725881367778,0.3701743212688756,0.07598529974993243,0.11476743796980968
